eacode,secter_in_180,lisa_cl_secter,lisa_p_secter
31001082,0,not significant,0.36300001
10203029,1,not significant,0.32499999
30101015,0,low-low,0.005
20604066,1,not significant,0.41600001
30332003,2,not significant,0.38100001
20603017,0,low-low,0.013
30902052,0,low-low,0.015
30901003,0,low-low,0.048
30334001,3,not significant,0.32100001
30307020,2,not significant,0.259
30108007,0,not significant,0.088
30806002,0,low-low,0.016000001
30709070,1,not significant,0.5
20909017,0,low-low,0.028999999
30302038,0,low-low,0.028000001
30708021,1,not significant,0.477
30701025,2,not significant,0.417
20702056,1,not significant,0.43900001
30710019,0,not significant,0.49200001
10502046,1,not significant,0.366
30102057,0,not significant,0.089000002
30555013,7,high-high,0.003
10220715,1,not significant,0.37200001
30305094,0,low-low,0.013
20902034,0,low-low,0.028999999
31201069,1,not significant,0.46900001
20807033,1,not significant,0.428
31001007,1,not significant,0.42399999
31105019,0,not significant,0.082000002
20637015,18,high-high,0.001
30901168,1,not significant,0.435
20602086,0,low-low,0.011
20801804,0,low-low,0.035
20601037,2,not significant,0.412
20614030,1,not significant,0.42399999
20703030,1,not significant,0.146
30303005,0,not significant,0.31099999
20705028,0,not significant,0.061999999
30704006,1,not significant,0.47600001
30536007,11,high-high,0.001
30538005,11,high-high,0.001
20402017,1,not significant,0.373
30402044,5,not significant,0.057999998
30201021,0,low-low,0.014
10505032,0,low-low,0.035
20120702,1,not significant,0.47999999
10304009,1,not significant,0.315
20803018,0,low-low,0.006
30802021,0,low-low,0.043000001
30203019,0,low-low,0.015
30602022,0,low-low,0.045000002
30805068,0,low-low,0.028999999
30103044,0,low-low,0.024
30804019,0,low-low,0.021
30533005,12,high-high,0.002
20610036,0,low-low,0.026000001
31003023,0,low-low,0.026000001
20901801,2,not significant,0.37599999
20603095,2,not significant,0.36399999
30534015,12,high-high,0.001
30301009,1,not significant,0.46900001
30902802,0,low-low,0.006
20105016,1,not significant,0.43000001
30702010,2,not significant,0.43000001
20820704,1,not significant,0.46799999
10506006,0,not significant,0.12899999
20112801,0,not significant,0.16
30210020,0,low-low,0.035
30507018,4,not significant,0.17900001
20404033,0,not significant,0.092
20205020,0,not significant,0.24600001
20606046,1,not significant,0.45199999
30206021,0,not significant,0.061999999
30405009,0,not significant,0.072999999
30806035,0,low-low,0.023
20113007,0,low-low,0.008
10502012,1,not significant,0.49700001
30102014,0,not significant,0.055
30341001,2,not significant,0.40700001
30304804,0,not significant,0.164
30503024,0,low-low,0.017000001
30104012,0,low-low,0.037999999
20904014,0,low-low,0.013
30335004,3,not significant,0.249
31002808,,,
10205011,0,low-low,0.029999999
20801044,0,low-low,0.015
20421807,1,not significant,0.40000001
10407008,1,not significant,0.49900001
20660001,19,high-high,0.001
30306018,0,not significant,0.35299999
30705021,1,not significant,0.405
20607013,0,low-low,0.017999999
30108032,0,not significant,0.15000001
30707019,0,not significant,0.104
31106022,0,not significant,0.094999999
30552013,11,high-high,0.001
20655028,13,high-high,0.001
30101071,0,low-low,0.039999999
20603073,2,not significant,0.40099999
20901032,1,not significant,0.49700001
30901059,0,low-low,0.006
30501023,1,not significant,0.493
10536007,3,not significant,0.252
20702905,0,not significant,0.061000001
20112032,0,not significant,0.079000004
30710075,1,not significant,0.40799999
30207034,0,low-low,0.027000001
10501053,0,low-low,0.039000001
31201125,0,low-low,0.028000001
30501018,1,not significant,0.454
30801073,0,not significant,0.31099999
30802034,0,not significant,0.090999998
31001063,1,not significant,0.40900001
20604047,0,low-low,0.011
31202074,0,not significant,0.177
30203032,0,low-low,0.035
30902017,0,low-low,0.025
30109021,0,not significant,0.266
30508008,2,high-high,0.041000001
30709035,0,low-low,0.02
30805081,2,not significant,0.36199999
10301009,0,not significant,0.16
20303034,1,not significant,0.48699999
20702037,0,not significant,0.156
10534011,3,not significant,0.189
20501014,2,not significant,0.43399999
30306108,2,not significant,0.377
20406013,0,not significant,0.16
20704035,0,low-low,0.014
31201034,1,not significant,0.44
31002021,1,not significant,0.40200001
30548016,11,high-high,0.001
20807014,1,not significant,0.43099999
30701901,2,not significant,0.43599999
30901149,1,not significant,0.39199999
20602051,1,not significant,0.491
20802025,0,not significant,0.050999999
20615044,0,not significant,0.35600001
20601002,3,not significant,0.057
30701012,1,not significant,0.461
30304019,0,not significant,0.463
20109012,0,low-low,0.02
30620704,1,not significant,0.414
20111010,0,low-low,0.026000001
10102014,0,not significant,0.204
30539019,11,high-high,0.001
10104012,0,low-low,0.02
10503015,0,low-low,0.011
20680004,16,high-high,0.001
20687027,19,high-high,0.001
30402009,3,not significant,0.12899999
31106015,0,low-low,0.012
10505013,2,not significant,0.278
30106048,0,not significant,0.106
30803035,2,not significant,0.359
